INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;4;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;156;86;121
9434;2019;4;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;195;90;142
9434;2019;4;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;113;42;78
9434;2019;4;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;165;18;92
9434;2019;4;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;138;65;102
9434;2019;4;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;150;65;108
9434;2019;4;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;170;68;119
9434;2019;4;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;201;89;145
9434;2019;4;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;179;92;136
9434;2019;4;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;178;76;127
9434;2019;4;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;167;83;125
9434;2019;4;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;188;85;136
9434;2019;4;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;236;71;154
9434;2019;4;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;258;71;164
9434;2019;4;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;230;109;170
9434;2019;4;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;221;113;167
9434;2019;4;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;105;160
9434;2019;4;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;203;114;158
9434;2019;4;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;113;153
9434;2019;4;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;216;91;154
9434;2019;4;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;144;97;120
9434;2019;4;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;192;101;146
9434;2019;4;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;189;105;147
9434;2019;4;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;177;97;137
9434;2019;4;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;190;107;148
9434;2019;4;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;194;103;148
9434;2019;4;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;217;88;152
9434;2019;4;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;231;96;164
9434;2019;4;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;242;87;164
9434;2019;4;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;261;115;188
