INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;FORMA;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2020;12;1;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;2;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;3;ZARAGOZA/AEROPUERTO;249;100152;413938;8;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;;;;;;;;;;;1;;;
9434;2020;12;4;ZARAGOZA/AEROPUERTO;249;100152;413938;0;8;8;0;0;0;4;6;6;8;8;8;8;24;449;29;23;49;0;0;0;0;8;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;;;;;;1;;;
9434;2020;12;5;ZARAGOZA/AEROPUERTO;249;100152;413938;-3;-3;0;0;-3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;3;;;;;;1;;;;1;;;
9434;2020;12;6;ZARAGOZA/AEROPUERTO;249;100152;413938;56;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;;;;;;;;;;;;;;
9434;2020;12;7;ZARAGOZA/AEROPUERTO;249;100152;413938;-3;56;56;-3;-3;-3;10;16;20;36;48;56;56;60;304;10;6;302;0;0;8;32;10;6;0;0;0;0;-3;0;0;0;0;0;0;-3;-3;0;0;0;0;0;100;1;;;;;;;;1;;1;;;
9434;2020;12;8;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;9;ZARAGOZA/AEROPUERTO;249;100152;413938;14;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;;;;;;;;;;;;;;
9434;2020;12;10;ZARAGOZA/AEROPUERTO;249;100152;413938;44;16;14;2;-3;0;4;6;8;12;14;14;16;24;9999;;;138;0;2;12;-3;0;0;-3;-3;0;0;0;2;-3;-3;0;0;0;0;0;0;0;0;0;0;100;1;;;;;;;;;;;;;
9434;2020;12;11;ZARAGOZA/AEROPUERTO;249;100152;413938;22;64;42;4;18;0;10;12;18;28;40;42;46;60;1517;2;2;316;0;-3;28;12;-3;2;-3;0;0;0;2;2;0;0;0;12;6;0;0;0;0;0;0;0;100;1;;;;;;;;1;;;;;
9434;2020;12;12;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;13;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2020;12;14;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2020;12;15;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;;
9434;2020;12;16;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2020;12;17;ZARAGOZA/AEROPUERTO;249;100152;413938;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;1;;;;;
9434;2020;12;18;ZARAGOZA/AEROPUERTO;249;100152;413938;0;2;2;0;0;0;2;2;2;2;2;2;2;12;528;11;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;6;6;;;1;;;;;
9434;2020;12;19;ZARAGOZA/AEROPUERTO;249;100152;413938;18;16;0;0;2;14;6;8;10;12;14;16;16;36;1931;9;6;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;10;0;0;0;0;100;1;;;;1;;;;1;;;;;
9434;2020;12;20;ZARAGOZA/AEROPUERTO;249;100152;413938;0;2;2;0;0;0;2;2;2;2;2;2;2;12;204;29;7;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;1;;;;1;;;;;
9434;2020;12;21;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;;;;;
9434;2020;12;22;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;;;1;;;;;
9434;2020;12;23;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;;
9434;2020;12;24;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;;
9434;2020;12;25;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;26;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2020;12;27;ZARAGOZA/AEROPUERTO;249;100152;413938;58;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;;;;;;;;;;;1;;;
9434;2020;12;28;ZARAGOZA/AEROPUERTO;249;100152;413938;0;58;58;0;0;0;16;26;34;50;56;58;58;96;228;29;42;134;0;0;44;12;-3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;;;;;1;;1;;;
9434;2020;12;29;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2020;12;30;ZARAGOZA/AEROPUERTO;249;100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2020;12;31;ZARAGOZA/AEROPUERTO;249;100152;413938;38;38;0;0;2;36;10;16;20;26;36;36;38;60;2039;28;24;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;2;0;0;-3;-3;20;12;4;0;100;1;;;;;;;;;;;;;
