INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;2;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;150;71;110
9434;2019;2;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;29;60
9434;2019;2;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;18;50
9434;2019;2;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;137;31;84
9434;2019;2;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;165;65;115
9434;2019;2;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;170;44;107
9434;2019;2;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;39;100
9434;2019;2;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;162;22;92
9434;2019;2;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;175;38;106
9434;2019;2;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;189;69;129
9434;2019;2;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;130;64;97
9434;2019;2;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;147;23;85
9434;2019;2;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;155;2;78
9434;2019;2;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;149;35;92
9434;2019;2;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;129;16;72
9434;2019;2;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;-5;78
9434;2019;2;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;169;0;84
9434;2019;2;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;152;38;95
9434;2019;2;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;139;22;80
9434;2019;2;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;147;21;84
9434;2019;2;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;175;14;94
9434;2019;2;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;206;17;112
9434;2019;2;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;231;23;127
9434;2019;2;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;177;49;113
9434;2019;2;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;191;26;108
9434;2019;2;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;30;122
9434;2019;2;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;255;29;142
9434;2019;2;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;97;145
